Survived,Pclass,Sex,Age,Fare,Cabin,Embarked,Title,FamilySize
0,3,0,1.0,0.0,2.0,0,0,0.4
1,1,1,38.0,2.0,0.8,1,2,0.4
1,3,1,1.0,0.0,2.0,0,1,0.0
1,1,1,2.0,2.0,0.8,0,2,0.4
0,3,0,2.0,0.0,2.0,0,0,0.0
0,3,0,2.0,0.0,2.0,2,0,0.0
0,1,0,54.0,2.0,1.6,0,0,0.0
0,3,0,0.0,1.0,2.0,0,3,1.6
1,3,1,2.0,0.0,2.0,0,2,0.8
1,2,1,0.0,2.0,1.8,1,2,0.4
1,3,1,0.0,0.0,2.4,0,1,0.8
1,1,1,58.0,1.0,0.8,0,1,0.0
0,3,0,1.0,0.0,2.0,0,0,0.0
0,3,0,39.0,2.0,2.0,0,0,1.6
0,3,1,0.0,0.0,2.0,0,1,0.0
1,2,1,55.0,0.0,1.8,0,2,0.0
0,3,0,0.0,1.0,2.0,2,3,2.0
1,2,0,2.0,0.0,1.8,0,0,0.0
0,3,1,2.0,1.0,2.0,0,2,0.4
1,3,1,2.0,0.0,2.0,1,2,0.0
0,2,0,2.0,1.0,1.8,0,0,0.0
1,2,0,2.0,0.0,1.2,0,0,0.0
1,3,1,0.0,0.0,2.0,2,1,0.0
1,1,0,2.0,2.0,0.0,0,0,0.0
0,3,1,0.0,1.0,2.0,0,1,1.6
1,3,1,38.0,2.0,2.0,0,2,1.6
0,3,0,2.0,0.0,2.0,1,0,0.0
0,1,0,1.0,3.0,0.8,0,0,2.0
1,3,1,1.0,0.0,2.0,2,1,0.0
0,3,0,2.0,0.0,2.0,0,0,0.0
0,1,0,40.0,1.0,0.8,1,4,0.0
1,1,1,2.0,3.0,0.4,1,2,0.4
1,3,1,1.0,0.0,2.0,2,1,0.0
0,2,0,66.0,0.0,1.8,0,0,0.0
0,1,0,2.0,2.0,0.8,1,0,0.4
0,1,0,42.0,2.0,0.8,0,0,0.4
1,3,0,2.0,0.0,2.0,1,0,0.0
0,3,0,1.0,0.0,2.0,0,0,0.0
0,3,1,1.0,1.0,2.0,0,1,0.8
1,3,1,0.0,0.0,2.0,1,1,0.4
0,3,1,40.0,0.0,2.0,0,2,0.4
0,2,1,2.0,1.0,1.8,0,2,0.4
0,3,0,2.0,0.0,2.0,1,0,0.0
1,2,1,0.0,2.0,1.8,1,1,1.2
1,3,1,1.0,0.0,2.0,2,1,0.0
